method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1170.41
Gauss,10019,100,1,1,1,739.768
Jacobi,18603,100,2,2,1,641.214
Gauss,10019,100,2,2,1,401.239
Jacobi,18603,100,3,3,1,553.065
Gauss,10019,100,3,3,1,334.597
Jacobi,18603,100,4,4,1,499.171
Gauss,10019,100,4,4,1,292.985
Jacobi,18603,100,5,5,1,474.156
Gauss,10019,100,5,5,1,278.542
Jacobi,18603,100,6,6,1,494.394
Gauss,10019,100,6,6,1,294.913
Jacobi,18603,100,7,7,1,515.709
Gauss,10019,100,7,7,1,302.3
Jacobi,18603,100,8,8,1,506.985
Gauss,10019,100,8,8,1,294.955
Jacobi,18603,100,9,9,1,544.175
Gauss,10019,100,9,9,1,318.075
Jacobi,18603,100,10,10,1,554.422
Gauss,10019,100,10,10,1,323.468
Jacobi,18603,100,11,11,1,572.496
Gauss,10019,100,11,11,1,346.938
Jacobi,18603,100,12,12,1,600.407
Gauss,10019,100,12,12,1,357.577
Jacobi,41583,150,1,1,1,5813.83
Gauss,22394,150,1,1,1,3661.25
Jacobi,41583,150,2,2,1,3072.76
Gauss,22394,150,2,2,1,1927.94
Jacobi,41583,150,3,3,1,2276.63
Gauss,22394,150,3,3,1,1402.6
Jacobi,41583,150,4,4,1,1818.57
Gauss,22394,150,4,4,1,1111.92
Jacobi,41583,150,5,5,1,1703.33
Gauss,22394,150,5,5,1,1026.46
Jacobi,41583,150,6,6,1,1609.98
Gauss,22394,150,6,6,1,1035.37
Jacobi,41583,150,7,7,1,1734.5
Gauss,22394,150,7,7,1,1025.66
Jacobi,41583,150,8,8,1,1604.27
Gauss,22394,150,8,8,1,958.758
Jacobi,41583,150,9,9,1,1646.57
Gauss,22394,150,9,9,1,967.364
Jacobi,41583,150,10,10,1,1634.92
Gauss,22394,150,10,10,1,972.443
Jacobi,41583,150,11,11,1,1665.79
Gauss,22394,150,11,11,1,974.656
Jacobi,41583,150,12,12,1,1657.78
Gauss,22394,150,12,12,1,974.293
Jacobi,73683,200,1,1,1,18339.4
Gauss,39680,200,1,1,1,11518.4
