method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1175.54
Gauss,10019,100,1,1,1,741.452
Jacobi,18603,100,2,2,1,1657.15
Gauss,10019,100,2,2,1,1039.49
Jacobi,18603,100,3,3,1,1746.63
Gauss,10019,100,3,3,1,1068.15
Jacobi,18603,100,4,4,1,1785.65
Gauss,10019,100,4,4,1,1057.57
Jacobi,18603,100,5,5,1,1783.97
Gauss,10019,100,5,5,1,1038.26
Jacobi,18603,100,6,6,1,1825.06
Gauss,10019,100,6,6,1,1022.87
Jacobi,18603,100,7,7,1,1932.95
Gauss,10019,100,7,7,1,1104.03
Jacobi,18603,100,8,8,1,2062.77
Gauss,10019,100,8,8,1,1157.13
Jacobi,18603,100,9,9,1,2123.25
Gauss,10019,100,9,9,1,1209.44
Jacobi,18603,100,10,10,1,2251.82
Gauss,10019,100,10,10,1,1279.37
Jacobi,18603,100,11,11,1,2347.1
Gauss,10019,100,11,11,1,1366.5
Jacobi,18603,100,12,12,1,2410.51
Gauss,10019,100,12,12,1,1385.83
Jacobi,41583,150,1,1,1,6119.64
Gauss,22394,150,1,1,1,3817.7
Jacobi,41583,150,2,2,1,5127.13
Gauss,22394,150,2,2,1,3179.91
Jacobi,41583,150,3,3,1,4680.31
Gauss,22394,150,3,3,1,2894.43
Jacobi,41583,150,4,4,1,4432.89
Gauss,22394,150,4,4,1,2748.47
Jacobi,41583,150,5,5,1,4510.25
Gauss,22394,150,5,5,1,2747.5
Jacobi,41583,150,6,6,1,4524.94
Gauss,22394,150,6,6,1,2755.32
