method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1170.58
Gauss,10019,100,1,1,1,739.689
Jacobi,18603,100,2,2,1,643.016
Gauss,10019,100,2,2,1,402.666
Jacobi,18603,100,3,3,1,556.296
Gauss,10019,100,3,3,1,336.637
Jacobi,18603,100,4,4,1,496.349
Gauss,10019,100,4,4,1,295.392
Jacobi,18603,100,5,5,1,476.98
Gauss,10019,100,5,5,1,276.819
Jacobi,18603,100,6,6,1,495.986
Gauss,10019,100,6,6,1,297.428
Jacobi,18603,100,7,7,1,519.461
Gauss,10019,100,7,7,1,303.235
Jacobi,18603,100,8,8,1,510.454
Gauss,10019,100,8,8,1,294.366
Jacobi,18603,100,9,9,1,542.648
Gauss,10019,100,9,9,1,319.562
Jacobi,18603,100,10,10,1,547.751
Gauss,10019,100,10,10,1,322.582
Jacobi,18603,100,11,11,1,579.578
Gauss,10019,100,11,11,1,343.076
Jacobi,18603,100,12,12,1,600.595
Gauss,10019,100,12,12,1,356.422
Jacobi,41583,150,1,1,1,5812.28
Gauss,22394,150,1,1,1,3659.0
Jacobi,41583,150,2,2,1,3078.92
Gauss,22394,150,2,2,1,1930.91
Jacobi,41583,150,3,3,1,2268.73
Gauss,22394,150,3,3,1,1398.81
Jacobi,41583,150,4,4,1,1811.59
Gauss,22394,150,4,4,1,1119.85
Jacobi,41583,150,5,5,1,1702.25
Gauss,22394,150,5,5,1,1032.6
Jacobi,41583,150,6,6,1,1613.48
Gauss,22394,150,6,6,1,1032.83
Jacobi,41583,150,7,7,1,1728.29
Gauss,22394,150,7,7,1,1024.61
Jacobi,41583,150,8,8,1,1600.66
Gauss,22394,150,8,8,1,966.125
Jacobi,41583,150,9,9,1,1646.78
Gauss,22394,150,9,9,1,972.889
Jacobi,41583,150,10,10,1,1637.38
Gauss,22394,150,10,10,1,972.886
Jacobi,41583,150,11,11,1,1663.0
Gauss,22394,150,11,11,1,974.973
Jacobi,41583,150,12,12,1,1649.04
Gauss,22394,150,12,12,1,991.265
Jacobi,73683,200,1,1,1,18299.8
Gauss,39680,200,1,1,1,11514.4
