method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1171.69
Gauss,10019,100,1,1,1,734.306
Jacobi,18603,100,2,2,1,645.586
Gauss,10019,100,2,2,1,404.515
Jacobi,18603,100,3,3,1,558.252
Gauss,10019,100,3,3,1,337.05
Jacobi,18603,100,4,4,1,499.388
Gauss,10019,100,4,4,1,295.4
Jacobi,18603,100,5,5,1,482.224
Gauss,10019,100,5,5,1,282.71
Jacobi,18603,100,6,6,1,500.228
Gauss,10019,100,6,6,1,296.937
Jacobi,18603,100,7,7,1,526.768
Gauss,10019,100,7,7,1,312.8
Jacobi,18603,100,8,8,1,513.845
Gauss,10019,100,8,8,1,302.498
Jacobi,18603,100,9,9,1,560.11
Gauss,10019,100,9,9,1,328.07
Jacobi,18603,100,10,10,1,564.15
Gauss,10019,100,10,10,1,330.951
Jacobi,18603,100,11,11,1,587.717
Gauss,10019,100,11,11,1,350.959
Jacobi,18603,100,12,12,1,604.362
Gauss,10019,100,12,12,1,366.87
Jacobi,41583,150,1,1,1,5817.58
Gauss,22394,150,1,1,1,3658.82
Jacobi,41583,150,2,2,1,3074.97
Gauss,22394,150,2,2,1,1935.57
Jacobi,41583,150,3,3,1,2278.22
Gauss,22394,150,3,3,1,1405.15
Jacobi,41583,150,4,4,1,1823.81
Gauss,22394,150,4,4,1,1119.03
Jacobi,41583,150,5,5,1,1726.88
Gauss,22394,150,5,5,1,1037.21
Jacobi,41583,150,6,6,1,1660.75
Gauss,22394,150,6,6,1,1042.57
Jacobi,41583,150,7,7,1,1760.59
Gauss,22394,150,7,7,1,1040.43
Jacobi,41583,150,8,8,1,1618.15
Gauss,22394,150,8,8,1,972.771
Jacobi,41583,150,9,9,1,1653.02
Gauss,22394,150,9,9,1,977.877
Jacobi,41583,150,10,10,1,1654.9
Gauss,22394,150,10,10,1,970.77
Jacobi,41583,150,11,11,1,1694.56
Gauss,22394,150,11,11,1,1002.06
Jacobi,41583,150,12,12,1,1676.51
Gauss,22394,150,12,12,1,998.808
Jacobi,73683,200,1,1,1,18312.6
Gauss,39680,200,1,1,1,11513.0
