method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1120.16
Gauss,10019,100,1,1,1,698.007
Jacobi,18603,100,2,2,1,669.177
Gauss,10019,100,2,2,1,405.602
Jacobi,18603,100,3,3,1,571.159
Gauss,10019,100,3,3,1,347.442
Jacobi,18603,100,4,4,1,521.895
Gauss,10019,100,4,4,1,315.746
Jacobi,18603,100,5,5,1,527.737
Gauss,10019,100,5,5,1,303.298
Jacobi,18603,100,6,6,1,576.51
Gauss,10019,100,6,6,1,340.332
Jacobi,18603,100,7,7,1,608.317
Gauss,10019,100,7,7,1,361.823
Jacobi,18603,100,8,8,1,564.811
Gauss,10019,100,8,8,1,340.672
Jacobi,18603,100,9,9,1,643.268
Gauss,10019,100,9,9,1,371.593
Jacobi,18603,100,10,10,1,636.355
Gauss,10019,100,10,10,1,362.853
Jacobi,18603,100,11,11,1,658.059
Gauss,10019,100,11,11,1,386.934
Jacobi,18603,100,12,12,1,678.541
Gauss,10019,100,12,12,1,384.867
Jacobi,41583,150,1,1,1,5594.23
Gauss,22394,150,1,1,1,3459.49
Jacobi,41583,150,2,2,1,3078.81
Gauss,22394,150,2,2,1,1889.83
Jacobi,41583,150,3,3,1,2329.15
Gauss,22394,150,3,3,1,1408.49
Jacobi,41583,150,4,4,1,1935.33
Gauss,22394,150,4,4,1,1168.36
Jacobi,41583,150,5,5,1,1820.04
Gauss,22394,150,5,5,1,1085.7
Jacobi,41583,150,6,6,1,1777.27
Gauss,22394,150,6,6,1,1097.34
Jacobi,41583,150,7,7,1,1888.91
Gauss,22394,150,7,7,1,1122.27
Jacobi,41583,150,8,8,1,1803.63
Gauss,22394,150,8,8,1,1116.81
Jacobi,41583,150,9,9,1,1722.12
Gauss,22394,150,9,9,1,1057.8
Jacobi,41583,150,10,10,1,1801.96
Gauss,22394,150,10,10,1,1053.51
Jacobi,41583,150,11,11,1,1772.37
Gauss,22394,150,11,11,1,1075.55
Jacobi,41583,150,12,12,1,1712.28
Gauss,22394,150,12,12,1,933.494
Jacobi,73683,200,1,1,1,18111.2
