method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1171.39
Gauss,10019,100,1,1,1,739.698
Jacobi,18603,100,2,2,1,643.697
Gauss,10019,100,2,2,1,404.245
Jacobi,18603,100,3,3,1,554.801
Gauss,10019,100,3,3,1,336.469
Jacobi,18603,100,4,4,1,501.267
Gauss,10019,100,4,4,1,294.946
Jacobi,18603,100,5,5,1,479.056
Gauss,10019,100,5,5,1,278.341
Jacobi,18603,100,6,6,1,497.489
Gauss,10019,100,6,6,1,297.663
Jacobi,18603,100,7,7,1,521.448
Gauss,10019,100,7,7,1,315.837
Jacobi,18603,100,8,8,1,511.867
Gauss,10019,100,8,8,1,298.719
Jacobi,18603,100,9,9,1,549.705
Gauss,10019,100,9,9,1,320.708
Jacobi,18603,100,10,10,1,555.669
Gauss,10019,100,10,10,1,328.151
Jacobi,18603,100,11,11,1,580.433
Gauss,10019,100,11,11,1,344.289
Jacobi,18603,100,12,12,1,604.795
Gauss,10019,100,12,12,1,363.871
Jacobi,41583,150,1,1,1,5818.24
Gauss,22394,150,1,1,1,3660.14
Jacobi,41583,150,2,2,1,3076.65
Gauss,22394,150,2,2,1,1933.5
Jacobi,41583,150,3,3,1,2282.89
Gauss,22394,150,3,3,1,1410.53
Jacobi,41583,150,4,4,1,1819.16
Gauss,22394,150,4,4,1,1120.64
Jacobi,41583,150,5,5,1,1714.84
Gauss,22394,150,5,5,1,1038.34
Jacobi,41583,150,6,6,1,1638.18
Gauss,22394,150,6,6,1,1043.46
Jacobi,41583,150,7,7,1,1741.77
Gauss,22394,150,7,7,1,1036.21
Jacobi,41583,150,8,8,1,1609.32
Gauss,22394,150,8,8,1,971.364
Jacobi,41583,150,9,9,1,1650.82
Gauss,22394,150,9,9,1,972.746
Jacobi,41583,150,10,10,1,1654.09
Gauss,22394,150,10,10,1,977.727
Jacobi,41583,150,11,11,1,1683.08
Gauss,22394,150,11,11,1,982.099
Jacobi,41583,150,12,12,1,1653.41
Gauss,22394,150,12,12,1,998.397
Jacobi,73683,200,1,1,1,18317.2
Gauss,39680,200,1,1,1,11517.2
