method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1171.81
Gauss,10019,100,1,1,1,739.862
Jacobi,18603,100,2,2,1,658.92
Gauss,10019,100,2,2,1,412.312
Jacobi,18603,100,3,3,1,571.165
Gauss,10019,100,3,3,1,342.95
Jacobi,18603,100,4,4,1,512.153
Gauss,10019,100,4,4,1,303.808
Jacobi,18603,100,5,5,1,506.965
Gauss,10019,100,5,5,1,295.105
Jacobi,18603,100,6,6,1,530.443
Gauss,10019,100,6,6,1,315.012
Jacobi,18603,100,7,7,1,558.163
Gauss,10019,100,7,7,1,328.724
Jacobi,18603,100,8,8,1,553.164
Gauss,10019,100,8,8,1,318.767
Jacobi,18603,100,9,9,1,603.863
Gauss,10019,100,9,9,1,357.136
Jacobi,18603,100,10,10,1,600.716
Gauss,10019,100,10,10,1,350.274
Jacobi,18603,100,11,11,1,625.09
Gauss,10019,100,11,11,1,373.751
Jacobi,18603,100,12,12,1,635.141
Gauss,10019,100,12,12,1,369.782
Jacobi,41583,150,1,1,1,5815.09
Gauss,22394,150,1,1,1,3662.29
Jacobi,41583,150,2,2,1,3124.34
Gauss,22394,150,2,2,1,1959.82
Jacobi,41583,150,3,3,1,2337.75
Gauss,22394,150,3,3,1,1432.79
Jacobi,41583,150,4,4,1,1901.71
Gauss,22394,150,4,4,1,1157.91
Jacobi,41583,150,5,5,1,1788.48
Gauss,22394,150,5,5,1,1067.24
Jacobi,41583,150,6,6,1,1756.67
Gauss,22394,150,6,6,1,1071.56
Jacobi,41583,150,7,7,1,1806.58
Gauss,22394,150,7,7,1,1050.03
Jacobi,41583,150,8,8,1,1699.19
Gauss,22394,150,8,8,1,1023.62
Jacobi,41583,150,9,9,1,1730.26
Gauss,22394,150,9,9,1,997.373
Jacobi,41583,150,10,10,1,1739.39
Gauss,22394,150,10,10,1,986.81
Jacobi,41583,150,11,11,1,1749.54
Gauss,22394,150,11,11,1,1038.62
Jacobi,41583,150,12,12,1,1672.82
Gauss,22394,150,12,12,1,920.666
Jacobi,73683,200,1,1,1,18316.9
