method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1170.69
Gauss,10019,100,1,1,1,734.297
Jacobi,18603,100,2,2,1,641.289
Gauss,10019,100,2,2,1,402.364
Jacobi,18603,100,3,3,1,553.681
Gauss,10019,100,3,3,1,333.623
Jacobi,18603,100,4,4,1,499.768
Gauss,10019,100,4,4,1,294.317
Jacobi,18603,100,5,5,1,480.51
Gauss,10019,100,5,5,1,282.859
Jacobi,18603,100,6,6,1,498.998
Gauss,10019,100,6,6,1,296.531
Jacobi,18603,100,7,7,1,522.738
Gauss,10019,100,7,7,1,307.68
Jacobi,18603,100,8,8,1,511.779
Gauss,10019,100,8,8,1,300.326
Jacobi,18603,100,9,9,1,552.359
Gauss,10019,100,9,9,1,324.386
Jacobi,18603,100,10,10,1,560.037
Gauss,10019,100,10,10,1,328.934
Jacobi,18603,100,11,11,1,586.499
Gauss,10019,100,11,11,1,345.211
Jacobi,18603,100,12,12,1,597.663
Gauss,10019,100,12,12,1,363.161
Jacobi,41583,150,1,1,1,5813.1
Gauss,22394,150,1,1,1,3657.71
Jacobi,41583,150,2,2,1,3073.03
Gauss,22394,150,2,2,1,1934.45
Jacobi,41583,150,3,3,1,2264.85
Gauss,22394,150,3,3,1,1417.75
Jacobi,41583,150,4,4,1,1823.72
Gauss,22394,150,4,4,1,1118.39
Jacobi,41583,150,5,5,1,1707.85
Gauss,22394,150,5,5,1,1028.97
Jacobi,41583,150,6,6,1,1624.99
Gauss,22394,150,6,6,1,1032.65
Jacobi,41583,150,7,7,1,1751.28
Gauss,22394,150,7,7,1,1029.62
Jacobi,41583,150,8,8,1,1603.09
Gauss,22394,150,8,8,1,975.272
Jacobi,41583,150,9,9,1,1642.5
Gauss,22394,150,9,9,1,957.827
Jacobi,41583,150,10,10,1,1649.76
Gauss,22394,150,10,10,1,963.335
Jacobi,41583,150,11,11,1,1693.43
Gauss,22394,150,11,11,1,990.85
Jacobi,41583,150,12,12,1,1679.79
Gauss,22394,150,12,12,1,995.309
Jacobi,73683,200,1,1,1,18302.2
Gauss,39680,200,1,1,1,11509.3
