method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1171.12
Gauss,10019,100,1,1,1,739.603
Jacobi,18603,100,2,2,1,642.141
Gauss,10019,100,2,2,1,403.214
Jacobi,18603,100,3,3,1,557.244
Gauss,10019,100,3,3,1,334.969
Jacobi,18603,100,4,4,1,502.931
Gauss,10019,100,4,4,1,296.141
Jacobi,18603,100,5,5,1,478.62
Gauss,10019,100,5,5,1,280.277
Jacobi,18603,100,6,6,1,499.679
Gauss,10019,100,6,6,1,296.837
Jacobi,18603,100,7,7,1,527.332
Gauss,10019,100,7,7,1,305.54
Jacobi,18603,100,8,8,1,512.338
Gauss,10019,100,8,8,1,295.379
Jacobi,18603,100,9,9,1,551.758
Gauss,10019,100,9,9,1,324.941
Jacobi,18603,100,10,10,1,557.418
Gauss,10019,100,10,10,1,324.796
Jacobi,18603,100,11,11,1,573.798
Gauss,10019,100,11,11,1,344.952
Jacobi,18603,100,12,12,1,599.393
Gauss,10019,100,12,12,1,360.7
Jacobi,41583,150,1,1,1,5822.18
Gauss,22394,150,1,1,1,3662.25
Jacobi,41583,150,2,2,1,3077.31
Gauss,22394,150,2,2,1,1933.26
Jacobi,41583,150,3,3,1,2280.77
Gauss,22394,150,3,3,1,1404.57
Jacobi,41583,150,4,4,1,1823.7
Gauss,22394,150,4,4,1,1121.72
Jacobi,41583,150,5,5,1,1716.32
Gauss,22394,150,5,5,1,1039.63
Jacobi,41583,150,6,6,1,1650.77
Gauss,22394,150,6,6,1,1034.61
Jacobi,41583,150,7,7,1,1739.88
Gauss,22394,150,7,7,1,1027.21
Jacobi,41583,150,8,8,1,1611.21
Gauss,22394,150,8,8,1,965.111
Jacobi,41583,150,9,9,1,1662.96
Gauss,22394,150,9,9,1,972.468
Jacobi,41583,150,10,10,1,1656.58
Gauss,22394,150,10,10,1,976.979
Jacobi,41583,150,11,11,1,1674.55
Gauss,22394,150,11,11,1,993.174
Jacobi,41583,150,12,12,1,1654.99
Gauss,22394,150,12,12,1,990.33
Jacobi,73683,200,1,1,1,18354.2
Gauss,39680,200,1,1,1,11521.7
