method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1171.76
Gauss,10019,100,1,1,1,739.63
Jacobi,18603,100,2,2,1,640.943
Gauss,10019,100,2,2,1,399.213
Jacobi,18603,100,3,3,1,484.387
Gauss,10019,100,3,3,1,299.551
Jacobi,18603,100,4,4,1,420.599
Gauss,10019,100,4,4,1,250.645
Jacobi,18603,100,5,5,1,392.31
Gauss,10019,100,5,5,1,239.051
Jacobi,18603,100,6,6,1,415.397
Gauss,10019,100,6,6,1,241.555
Jacobi,18603,100,7,7,1,393.725
Gauss,10019,100,7,7,1,248.005
Jacobi,18603,100,8,8,1,414.186
Gauss,10019,100,8,8,1,248.04
Jacobi,18603,100,9,9,1,439.081
Gauss,10019,100,9,9,1,255.825
Jacobi,18603,100,10,10,1,440.445
Gauss,10019,100,10,10,1,279.477
Jacobi,18603,100,11,11,1,462.909
Gauss,10019,100,11,11,1,294.605
Jacobi,18603,100,12,12,1,520.394
Gauss,10019,100,12,12,1,292.518
Jacobi,41583,150,1,1,1,5836.66
Gauss,22394,150,1,1,1,3624.67
Jacobi,41583,150,2,2,1,3058.88
Gauss,22394,150,2,2,1,1906.11
Jacobi,41583,150,3,3,1,2191.8
Gauss,22394,150,3,3,1,1337.98
Jacobi,41583,150,4,4,1,1749.02
Gauss,22394,150,4,4,1,1064.94
Jacobi,41583,150,5,5,1,1543.5
Gauss,22394,150,5,5,1,950.61
Jacobi,41583,150,6,6,1,1526.18
Gauss,22394,150,6,6,1,896.207
Jacobi,41583,150,7,7,1,1394.47
Gauss,22394,150,7,7,1,857.849
Jacobi,41583,150,8,8,1,1319.68
Gauss,22394,150,8,8,1,838.858
Jacobi,41583,150,9,9,1,1297.99
Gauss,22394,150,9,9,1,781.593
Jacobi,41583,150,10,10,1,1338.02
Gauss,22394,150,10,10,1,809.568
Jacobi,41583,150,11,11,1,1384.17
Gauss,22394,150,11,11,1,817.063
Jacobi,41583,150,12,12,1,1378.98
Gauss,22394,150,12,12,1,841.839
Jacobi,73683,200,1,1,1,18413.9
Gauss,39680,200,1,1,1,11457.8
