method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,376.215
Gauss,10019,100,1,1,1,210.924
Jacobi,18603,100,1,2,2,194.992
Gauss,10019,100,1,2,2,113.313
Jacobi,18603,100,1,3,3,134.294
Gauss,10019,100,1,3,3,78.8256
Jacobi,18603,100,1,4,4,106.413
Gauss,10019,100,1,4,4,63.4124
Jacobi,18603,100,1,5,5,88.8581
Gauss,10019,100,1,5,5,53.7559
Jacobi,18603,100,1,6,6,79.4971
Gauss,10019,100,1,6,6,48.3322
Jacobi,18603,100,1,7,7,75.9064
Gauss,10019,100,1,7,7,46.1667
Jacobi,18603,100,1,8,8,68.9688
Gauss,10019,100,1,8,8,43.959
Jacobi,18603,100,1,9,9,67.1582
Gauss,10019,100,1,9,9,42.3697
Jacobi,18603,100,1,10,10,64.8103
Gauss,10019,100,1,10,10,42.1362
Jacobi,18603,100,1,11,11,64.2038
Gauss,10019,100,1,11,11,42.0833
Jacobi,18603,100,1,12,12,63.858
Gauss,10019,100,1,12,12,41.7859
Jacobi,41583,150,1,1,1,1861.88
Gauss,22394,150,1,1,1,1058.98
Jacobi,41583,150,1,2,2,950.119
Gauss,22394,150,1,2,2,555.218
Jacobi,41583,150,1,3,3,644.429
Gauss,22394,150,1,3,3,379.202
Jacobi,41583,150,1,4,4,540.454
Gauss,22394,150,1,4,4,300.848
Jacobi,41583,150,1,5,5,414.895
Gauss,22394,150,1,5,5,249.599
Jacobi,41583,150,1,6,6,357.218
Gauss,22394,150,1,6,6,216.533
Jacobi,41583,150,1,7,7,339.78
Gauss,22394,150,1,7,7,203.511
Jacobi,41583,150,1,8,8,293.418
Gauss,22394,150,1,8,8,179.899
Jacobi,41583,150,1,9,9,280.924
Gauss,22394,150,1,9,9,170.445
Jacobi,41583,150,1,10,10,255.114
Gauss,22394,150,1,10,10,160.491
Jacobi,41583,150,1,11,11,245.324
Gauss,22394,150,1,11,11,155.165
Jacobi,41583,150,1,12,12,232.043
Gauss,22394,150,1,12,12,146.247
Jacobi,73683,200,1,1,1,5743.49
Gauss,39680,200,1,1,1,3289.9
Jacobi,73683,200,1,2,2,2950.29
Gauss,39680,200,1,2,2,1732.14
Jacobi,73683,200,1,3,3,1999.48
Gauss,39680,200,1,3,3,1177.18
Jacobi,73683,200,1,4,4,1564.7
Gauss,39680,200,1,4,4,924.167
Jacobi,73683,200,1,5,5,1266.08
Gauss,39680,200,1,5,5,753.816
Jacobi,73683,200,1,6,6,1090.75
Gauss,39680,200,1,6,6,650.842
Jacobi,73683,200,1,7,7,1019.71
Gauss,39680,200,1,7,7,607.038
Jacobi,73683,200,1,8,8,859.992
Gauss,39680,200,1,8,8,523.891
Jacobi,73683,200,1,9,9,808.181
Gauss,39680,200,1,9,9,494.966
Jacobi,73683,200,1,10,10,743.025
Gauss,39680,200,1,10,10,451.512
Jacobi,73683,200,1,11,11,709.314
Gauss,39680,200,1,11,11,433.345
Jacobi,73683,200,1,12,12,641.73
Gauss,39680,200,1,12,12,390.967
