method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,320.046
Gauss,10019,100,1,1,1,184.061
Jacobi,18603,100,1,2,2,174.212
Gauss,10019,100,1,2,2,100.709
Jacobi,18603,100,1,3,3,122.069
Gauss,10019,100,1,3,3,70.0499
Jacobi,18603,100,1,4,4,98.0541
Gauss,10019,100,1,4,4,57.1473
Jacobi,18603,100,1,5,5,83.4629
Gauss,10019,100,1,5,5,49.2073
Jacobi,18603,100,1,6,6,79.9856
Gauss,10019,100,1,6,6,48.156
Jacobi,18603,100,1,7,7,72.7623
Gauss,10019,100,1,7,7,43.8057
Jacobi,18603,100,1,8,8,65.135
Gauss,10019,100,1,8,8,41.7061
Jacobi,18603,100,1,9,9,66.0493
Gauss,10019,100,1,9,9,42.6631
Jacobi,18603,100,1,10,10,64.7861
Gauss,10019,100,1,10,10,42.8823
Jacobi,18603,100,1,11,11,67.8402
Gauss,10019,100,1,11,11,45.6077
Jacobi,18603,100,1,12,12,68.4483
Gauss,10019,100,1,12,12,47.0099
Jacobi,41583,150,1,1,1,1545.23
Gauss,22394,150,1,1,1,892.817
Jacobi,41583,150,1,2,2,847.151
Gauss,22394,150,1,2,2,504.209
Jacobi,41583,150,1,3,3,582.862
Gauss,22394,150,1,3,3,327.761
Jacobi,41583,150,1,4,4,471.597
Gauss,22394,150,1,4,4,292.639
Jacobi,41583,150,1,5,5,418.619
Gauss,22394,150,1,5,5,242.001
Jacobi,41583,150,1,6,6,366.379
Gauss,22394,150,1,6,6,214.816
Jacobi,41583,150,1,7,7,327.411
Gauss,22394,150,1,7,7,192.067
Jacobi,41583,150,1,8,8,285.977
Gauss,22394,150,1,8,8,173.304
Jacobi,41583,150,1,9,9,276.335
Gauss,22394,150,1,9,9,164.349
Jacobi,41583,150,1,10,10,253.387
Gauss,22394,150,1,10,10,159.624
Jacobi,41583,150,1,11,11,252.728
Gauss,22394,150,1,11,11,160.084
Jacobi,41583,150,1,12,12,245.48
Gauss,22394,150,1,12,12,158.827
Jacobi,73683,200,1,1,1,5179.79
Gauss,39680,200,1,1,1,3112.51
Jacobi,73683,200,1,2,2,2587.34
Gauss,39680,200,1,2,2,1465.7
Jacobi,73683,200,1,3,3,1874.28
Gauss,39680,200,1,3,3,1070.41
Jacobi,73683,200,1,4,4,1386.37
Gauss,39680,200,1,4,4,790.178
Jacobi,73683,200,1,5,5,1133.77
Gauss,39680,200,1,5,5,654.868
Jacobi,73683,200,1,6,6,1066.18
Gauss,39680,200,1,6,6,612.638
Jacobi,73683,200,1,7,7,945.345
Gauss,39680,200,1,7,7,542.708
Jacobi,73683,200,1,8,8,787.261
Gauss,39680,200,1,8,8,474.006
Jacobi,73683,200,1,9,9,776.91
Gauss,39680,200,1,9,9,447.305
Jacobi,73683,200,1,10,10,668.704
Gauss,39680,200,1,10,10,411.337
Jacobi,73683,200,1,11,11,682.142
Gauss,39680,200,1,11,11,402.701
Jacobi,73683,200,1,12,12,611.483
Gauss,39680,200,1,12,12,383.306
