method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,312.401
Gauss,10019,100,1,1,1,177.719
Jacobi,18603,100,1,2,2,173.827
Gauss,10019,100,1,2,2,99.1622
Jacobi,18603,100,1,3,3,135.655
Gauss,10019,100,1,3,3,77.8565
Jacobi,18603,100,1,4,4,108.089
Gauss,10019,100,1,4,4,63.172
Jacobi,18603,100,1,5,5,93.1771
Gauss,10019,100,1,5,5,55.1015
Jacobi,18603,100,1,6,6,83.6764
Gauss,10019,100,1,6,6,50.3117
Jacobi,18603,100,1,7,7,78.8326
Gauss,10019,100,1,7,7,48.1238
Jacobi,18603,100,1,8,8,74.8296
Gauss,10019,100,1,8,8,47.7351
Jacobi,18603,100,1,9,9,74.5092
Gauss,10019,100,1,9,9,48.6408
Jacobi,18603,100,1,10,10,73.3421
Gauss,10019,100,1,10,10,48.9843
Jacobi,18603,100,1,11,11,73.8303
Gauss,10019,100,1,11,11,50.4747
Jacobi,18603,100,1,12,12,72.1025
Gauss,10019,100,1,12,12,47.25
Jacobi,41583,150,1,1,1,1563.22
Gauss,22394,150,1,1,1,890.979
Jacobi,41583,150,1,2,2,861.716
Gauss,22394,150,1,2,2,502.129
Jacobi,41583,150,1,3,3,647.429
Gauss,22394,150,1,3,3,370.528
Jacobi,41583,150,1,4,4,513.245
Gauss,22394,150,1,4,4,300.627
Jacobi,41583,150,1,5,5,430.842
Gauss,22394,150,1,5,5,250.553
Jacobi,41583,150,1,6,6,371.975
Gauss,22394,150,1,6,6,219.052
Jacobi,41583,150,1,7,7,342.038
Gauss,22394,150,1,7,7,199.452
Jacobi,41583,150,1,8,8,320.079
Gauss,22394,150,1,8,8,190.174
Jacobi,41583,150,1,9,9,298.406
Gauss,22394,150,1,9,9,180.599
Jacobi,41583,150,1,10,10,285.278
Gauss,22394,150,1,10,10,174.554
Jacobi,41583,150,1,11,11,270.102
Gauss,22394,150,1,11,11,169.294
Jacobi,41583,150,1,12,12,256.894
Gauss,22394,150,1,12,12,160.456
Jacobi,73683,200,1,1,1,4935.24
Gauss,39680,200,1,1,1,2805.78
Jacobi,73683,200,1,2,2,2640.96
Gauss,39680,200,1,2,2,1511.06
Jacobi,73683,200,1,3,3,2001.8
Gauss,39680,200,1,3,3,1161.01
Jacobi,73683,200,1,4,4,1544.02
Gauss,39680,200,1,4,4,882.12
Jacobi,73683,200,1,5,5,1293.71
Gauss,39680,200,1,5,5,744.117
Jacobi,73683,200,1,6,6,1113.25
Gauss,39680,200,1,6,6,648.513
Jacobi,73683,200,1,7,7,1016.68
Gauss,39680,200,1,7,7,573.84
Jacobi,73683,200,1,8,8,943.888
Gauss,39680,200,1,8,8,536.157
Jacobi,73683,200,1,9,9,841.975
Gauss,39680,200,1,9,9,499.071
Jacobi,73683,200,1,10,10,802.516
Gauss,39680,200,1,10,10,470.089
Jacobi,73683,200,1,11,11,753.298
Gauss,39680,200,1,11,11,441.193
Jacobi,73683,200,1,12,12,700.586
Gauss,39680,200,1,12,12,415.273
