method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,374.261
Gauss,10019,100,1,1,1,210.491
Jacobi,18603,100,1,2,2,194.278
Gauss,10019,100,1,2,2,113.082
Jacobi,18603,100,1,3,3,133.788
Gauss,10019,100,1,3,3,78.7943
Jacobi,18603,100,1,4,4,106.691
Gauss,10019,100,1,4,4,63.4794
Jacobi,18603,100,1,5,5,89.0382
Gauss,10019,100,1,5,5,53.6316
Jacobi,18603,100,1,6,6,78.2137
Gauss,10019,100,1,6,6,47.6139
Jacobi,18603,100,1,7,7,76.0214
Gauss,10019,100,1,7,7,46.2787
Jacobi,18603,100,1,8,8,68.7844
Gauss,10019,100,1,8,8,43.7096
Jacobi,18603,100,1,9,9,67.0451
Gauss,10019,100,1,9,9,42.4506
Jacobi,18603,100,1,10,10,64.9663
Gauss,10019,100,1,10,10,41.7441
Jacobi,18603,100,1,11,11,63.9456
Gauss,10019,100,1,11,11,41.5247
Jacobi,18603,100,1,12,12,63.2095
Gauss,10019,100,1,12,12,41.513
Jacobi,41583,150,1,1,1,1861.64
Gauss,22394,150,1,1,1,1051.22
Jacobi,41583,150,1,2,2,948.011
Gauss,22394,150,1,2,2,554.911
Jacobi,41583,150,1,3,3,642.279
Gauss,22394,150,1,3,3,379.423
Jacobi,41583,150,1,4,4,511.336
Gauss,22394,150,1,4,4,301.509
Jacobi,41583,150,1,5,5,415.018
Gauss,22394,150,1,5,5,246.952
Jacobi,41583,150,1,6,6,354.964
Gauss,22394,150,1,6,6,212.644
Jacobi,41583,150,1,7,7,340.16
Gauss,22394,150,1,7,7,203.637
Jacobi,41583,150,1,8,8,293.788
Gauss,22394,150,1,8,8,180.594
Jacobi,41583,150,1,9,9,285.794
Gauss,22394,150,1,9,9,171.838
Jacobi,41583,150,1,10,10,256.073
Gauss,22394,150,1,10,10,160.195
Jacobi,41583,150,1,11,11,244.813
Gauss,22394,150,1,11,11,152.288
Jacobi,41583,150,1,12,12,229.667
Gauss,22394,150,1,12,12,146.842
Jacobi,73683,200,1,1,1,5768.57
Gauss,39680,200,1,1,1,3298.61
Jacobi,73683,200,1,2,2,2948.74
Gauss,39680,200,1,2,2,1728.19
Jacobi,73683,200,1,3,3,1993.94
Gauss,39680,200,1,3,3,1178.43
Jacobi,73683,200,1,4,4,1563.44
Gauss,39680,200,1,4,4,925.655
Jacobi,73683,200,1,5,5,1267.52
Gauss,39680,200,1,5,5,753.258
Jacobi,73683,200,1,6,6,1085.65
Gauss,39680,200,1,6,6,642.483
Jacobi,73683,200,1,7,7,1019.99
Gauss,39680,200,1,7,7,608.443
Jacobi,73683,200,1,8,8,863.205
Gauss,39680,200,1,8,8,524.515
Jacobi,73683,200,1,9,9,839.291
Gauss,39680,200,1,9,9,504.91
Jacobi,73683,200,1,10,10,726.597
Gauss,39680,200,1,10,10,446.181
Jacobi,73683,200,1,11,11,715.993
Gauss,39680,200,1,11,11,431.067
Jacobi,73683,200,1,12,12,637.454
Gauss,39680,200,1,12,12,396.468
