method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,376.192
Gauss,10019,100,1,1,1,211.62
Jacobi,18603,100,1,2,2,194.337
Gauss,10019,100,1,2,2,112.976
Jacobi,18603,100,1,3,3,134.857
Gauss,10019,100,1,3,3,78.9054
Jacobi,18603,100,1,4,4,105.198
Gauss,10019,100,1,4,4,62.5953
Jacobi,18603,100,1,5,5,87.5111
Gauss,10019,100,1,5,5,52.854
Jacobi,18603,100,1,6,6,78.66
Gauss,10019,100,1,6,6,47.8666
Jacobi,18603,100,1,7,7,71.3442
Gauss,10019,100,1,7,7,43.8733
Jacobi,18603,100,1,8,8,63.8307
Gauss,10019,100,1,8,8,41.332
Jacobi,18603,100,1,9,9,63.4041
Gauss,10019,100,1,9,9,40.4159
Jacobi,18603,100,1,10,10,62.6106
Gauss,10019,100,1,10,10,40.3499
Jacobi,18603,100,1,11,11,63.1263
Gauss,10019,100,1,11,11,41.4057
Jacobi,18603,100,1,12,12,63.1279
Gauss,10019,100,1,12,12,41.7639
Jacobi,41583,150,1,1,1,1857.77
Gauss,22394,150,1,1,1,1056.29
Jacobi,41583,150,1,2,2,949.005
Gauss,22394,150,1,2,2,554.369
Jacobi,41583,150,1,3,3,644.899
Gauss,22394,150,1,3,3,379.532
Jacobi,41583,150,1,4,4,497.267
Gauss,22394,150,1,4,4,293.688
Jacobi,41583,150,1,5,5,403.877
Gauss,22394,150,1,5,5,264.358
Jacobi,41583,150,1,6,6,355.587
Gauss,22394,150,1,6,6,213.199
Jacobi,41583,150,1,7,7,323.828
Gauss,22394,150,1,7,7,191.008
Jacobi,41583,150,1,8,8,280.879
Gauss,22394,150,1,8,8,167.931
Jacobi,41583,150,1,9,9,264.969
Gauss,22394,150,1,9,9,162.069
Jacobi,41583,150,1,10,10,246.517
Gauss,22394,150,1,10,10,156.056
Jacobi,41583,150,1,11,11,242.775
Gauss,22394,150,1,11,11,152.029
Jacobi,41583,150,1,12,12,230.142
Gauss,22394,150,1,12,12,148.096
Jacobi,73683,200,1,1,1,5804.49
Gauss,39680,200,1,1,1,3307.47
Jacobi,73683,200,1,2,2,2944.29
Gauss,39680,200,1,2,2,1725.12
Jacobi,73683,200,1,3,3,1998.59
Gauss,39680,200,1,3,3,1178.6
Jacobi,73683,200,1,4,4,1517.74
Gauss,39680,200,1,4,4,898.022
Jacobi,73683,200,1,5,5,1231.78
Gauss,39680,200,1,5,5,731.608
Jacobi,73683,200,1,6,6,1088.2
Gauss,39680,200,1,6,6,643.302
Jacobi,73683,200,1,7,7,1073.3
Gauss,39680,200,1,7,7,572.159
Jacobi,73683,200,1,8,8,795.91
Gauss,39680,200,1,8,8,486.862
Jacobi,73683,200,1,9,9,793.694
Gauss,39680,200,1,9,9,475.773
Jacobi,73683,200,1,10,10,703.606
Gauss,39680,200,1,10,10,433.397
Jacobi,73683,200,1,11,11,709.199
Gauss,39680,200,1,11,11,426.483
Jacobi,73683,200,1,12,12,639.32
Gauss,39680,200,1,12,12,398.369
