method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,312.54
Gauss,10019,100,1,1,1,178.194
Jacobi,18603,100,1,2,2,175.542
Gauss,10019,100,1,2,2,99.6681
Jacobi,18603,100,1,3,3,136.676
Gauss,10019,100,1,3,3,78.2244
Jacobi,18603,100,1,4,4,106.806
Gauss,10019,100,1,4,4,62.0855
Jacobi,18603,100,1,5,5,90.0489
Gauss,10019,100,1,5,5,58.4343
Jacobi,18603,100,1,6,6,81.2123
Gauss,10019,100,1,6,6,48.5354
Jacobi,18603,100,1,7,7,76.558
Gauss,10019,100,1,7,7,46.568
Jacobi,18603,100,1,8,8,70.4994
Gauss,10019,100,1,8,8,44.2672
Jacobi,18603,100,1,9,9,70.3644
Gauss,10019,100,1,9,9,45.2124
Jacobi,18603,100,1,10,10,68.9375
Gauss,10019,100,1,10,10,45.2258
Jacobi,18603,100,1,11,11,69.3419
Gauss,10019,100,1,11,11,46.5656
Jacobi,18603,100,1,12,12,69.7743
Gauss,10019,100,1,12,12,46.4342
Jacobi,41583,150,1,1,1,1562.63
Gauss,22394,150,1,1,1,889.753
Jacobi,41583,150,1,2,2,863.204
Gauss,22394,150,1,2,2,490.386
Jacobi,41583,150,1,3,3,654.099
Gauss,22394,150,1,3,3,371.1
Jacobi,41583,150,1,4,4,515.838
Gauss,22394,150,1,4,4,304.85
Jacobi,41583,150,1,5,5,439.147
Gauss,22394,150,1,5,5,249.794
Jacobi,41583,150,1,6,6,374.154
Gauss,22394,150,1,6,6,216.922
Jacobi,41583,150,1,7,7,338.863
Gauss,22394,150,1,7,7,195.993
Jacobi,41583,150,1,8,8,312.497
Gauss,22394,150,1,8,8,184.355
Jacobi,41583,150,1,9,9,278.601
Gauss,22394,150,1,9,9,173.064
Jacobi,41583,150,1,10,10,274.587
Gauss,22394,150,1,10,10,167.578
Jacobi,41583,150,1,11,11,256.747
Gauss,22394,150,1,11,11,163.359
Jacobi,41583,150,1,12,12,248.159
Gauss,22394,150,1,12,12,158.296
Jacobi,73683,200,1,1,1,4933.73
Gauss,39680,200,1,1,1,2807.94
Jacobi,73683,200,1,2,2,2677.15
Gauss,39680,200,1,2,2,1512.12
Jacobi,73683,200,1,3,3,2023.96
Gauss,39680,200,1,3,3,1144.93
Jacobi,73683,200,1,4,4,1536.4
Gauss,39680,200,1,4,4,877.079
Jacobi,73683,200,1,5,5,1249.42
Gauss,39680,200,1,5,5,715.549
Jacobi,73683,200,1,6,6,1099.82
Gauss,39680,200,1,6,6,631.161
Jacobi,73683,200,1,7,7,1001.43
Gauss,39680,200,1,7,7,574.008
Jacobi,73683,200,1,8,8,876.338
Gauss,39680,200,1,8,8,502.294
Jacobi,73683,200,1,9,9,805.672
Gauss,39680,200,1,9,9,460.79
Jacobi,73683,200,1,10,10,771.534
Gauss,39680,200,1,10,10,447.764
Jacobi,73683,200,1,11,11,739.352
Gauss,39680,200,1,11,11,430.02
Jacobi,73683,200,1,12,12,692.761
Gauss,39680,200,1,12,12,413.672
