method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,311.453
Gauss,10019,100,1,1,1,183.649
Jacobi,18603,100,1,2,2,171.469
Gauss,10019,100,1,2,2,102.841
Jacobi,18603,100,1,3,3,136.521
Gauss,10019,100,1,3,3,79.7045
Jacobi,18603,100,1,4,4,106.014
Gauss,10019,100,1,4,4,63.7659
Jacobi,18603,100,1,5,5,91.476
Gauss,10019,100,1,5,5,55.7745
Jacobi,18603,100,1,6,6,82.5578
Gauss,10019,100,1,6,6,50.7219
Jacobi,18603,100,1,7,7,77.6392
Gauss,10019,100,1,7,7,48.0346
Jacobi,18603,100,1,8,8,74.2463
Gauss,10019,100,1,8,8,47.8944
Jacobi,18603,100,1,9,9,74.1559
Gauss,10019,100,1,9,9,48.5882
Jacobi,18603,100,1,10,10,73.4373
Gauss,10019,100,1,10,10,48.785
Jacobi,18603,100,1,11,11,73.937
Gauss,10019,100,1,11,11,50.2493
Jacobi,18603,100,1,12,12,74.4868
Gauss,10019,100,1,12,12,47.6452
Jacobi,41583,150,1,1,1,1545.25
Gauss,22394,150,1,1,1,926.331
Jacobi,41583,150,1,2,2,836.263
Gauss,22394,150,1,2,2,500.697
Jacobi,41583,150,1,3,3,645.539
Gauss,22394,150,1,3,3,390.553
Jacobi,41583,150,1,4,4,494.063
Gauss,22394,150,1,4,4,297.405
Jacobi,41583,150,1,5,5,414.669
Gauss,22394,150,1,5,5,252.94
Jacobi,41583,150,1,6,6,360.906
Gauss,22394,150,1,6,6,220.655
Jacobi,41583,150,1,7,7,332.6
Gauss,22394,150,1,7,7,201.206
Jacobi,41583,150,1,8,8,308.108
Gauss,22394,150,1,8,8,189.486
Jacobi,41583,150,1,9,9,286.888
Gauss,22394,150,1,9,9,178.488
Jacobi,41583,150,1,10,10,279.818
Gauss,22394,150,1,10,10,173.748
Jacobi,41583,150,1,11,11,267.703
Gauss,22394,150,1,11,11,170.306
Jacobi,41583,150,1,12,12,257.379
Gauss,22394,150,1,12,12,161.436
Jacobi,73683,200,1,1,1,4839.68
Gauss,39680,200,1,1,1,2941.19
Jacobi,73683,200,1,2,2,2577.52
Gauss,39680,200,1,2,2,1578.11
Jacobi,73683,200,1,3,3,2015.07
Gauss,39680,200,1,3,3,1214.98
Jacobi,73683,200,1,4,4,1514.19
Gauss,39680,200,1,4,4,913.235
Jacobi,73683,200,1,5,5,1257.66
Gauss,39680,200,1,5,5,768.461
Jacobi,73683,200,1,6,6,1085.06
Gauss,39680,200,1,6,6,668.372
Jacobi,73683,200,1,7,7,985.728
Gauss,39680,200,1,7,7,661.392
Jacobi,73683,200,1,8,8,916.563
Gauss,39680,200,1,8,8,547.274
Jacobi,73683,200,1,9,9,832.165
Gauss,39680,200,1,9,9,500.056
Jacobi,73683,200,1,10,10,783.885
Gauss,39680,200,1,10,10,476.428
Jacobi,73683,200,1,11,11,744.679
Gauss,39680,200,1,11,11,444.874
Jacobi,73683,200,1,12,12,685.956
Gauss,39680,200,1,12,12,421.422
