method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,376.891
Gauss,10019,100,1,1,1,210.436
Jacobi,18603,100,1,2,2,194.605
Gauss,10019,100,1,2,2,113.248
Jacobi,18603,100,1,3,3,134.499
Gauss,10019,100,1,3,3,79.2183
Jacobi,18603,100,1,4,4,108.543
Gauss,10019,100,1,4,4,64.8662
Jacobi,18603,100,1,5,5,91.0244
Gauss,10019,100,1,5,5,54.586
Jacobi,18603,100,1,6,6,79.2612
Gauss,10019,100,1,6,6,48.9728
Jacobi,18603,100,1,7,7,77.1191
Gauss,10019,100,1,7,7,48.0099
Jacobi,18603,100,1,8,8,70.4837
Gauss,10019,100,1,8,8,45.3714
Jacobi,18603,100,1,9,9,68.2559
Gauss,10019,100,1,9,9,44.0202
Jacobi,18603,100,1,10,10,65.3468
Gauss,10019,100,1,10,10,43.17
Jacobi,18603,100,1,11,11,64.5837
Gauss,10019,100,1,11,11,43.1319
Jacobi,18603,100,1,12,12,64.5424
Gauss,10019,100,1,12,12,41.5397
Jacobi,41583,150,1,1,1,1856.61
Gauss,22394,150,1,1,1,1056.85
Jacobi,41583,150,1,2,2,950.338
Gauss,22394,150,1,2,2,555.744
Jacobi,41583,150,1,3,3,645.343
Gauss,22394,150,1,3,3,382.06
Jacobi,41583,150,1,4,4,515.366
Gauss,22394,150,1,4,4,304.39
Jacobi,41583,150,1,5,5,460.996
Gauss,22394,150,1,5,5,249.884
Jacobi,41583,150,1,6,6,358.088
Gauss,22394,150,1,6,6,220.988
Jacobi,41583,150,1,7,7,342.707
Gauss,22394,150,1,7,7,207.729
Jacobi,41583,150,1,8,8,296.265
Gauss,22394,150,1,8,8,184.092
Jacobi,41583,150,1,9,9,283.224
Gauss,22394,150,1,9,9,174.987
Jacobi,41583,150,1,10,10,256.963
Gauss,22394,150,1,10,10,163.278
Jacobi,41583,150,1,11,11,246.418
Gauss,22394,150,1,11,11,156.098
Jacobi,41583,150,1,12,12,233.451
Gauss,22394,150,1,12,12,143.917
Jacobi,73683,200,1,1,1,5762.53
Gauss,39680,200,1,1,1,3288.77
Jacobi,73683,200,1,2,2,2950.05
Gauss,39680,200,1,2,2,1730.78
Jacobi,73683,200,1,3,3,2013.7
Gauss,39680,200,1,3,3,1183.82
Jacobi,73683,200,1,4,4,1571.26
Gauss,39680,200,1,4,4,928.496
Jacobi,73683,200,1,5,5,1272.69
Gauss,39680,200,1,5,5,764.674
Jacobi,73683,200,1,6,6,1089.8
Gauss,39680,200,1,6,6,656.811
Jacobi,73683,200,1,7,7,1022.75
Gauss,39680,200,1,7,7,615.569
Jacobi,73683,200,1,8,8,866.313
Gauss,39680,200,1,8,8,529.95
Jacobi,73683,200,1,9,9,846.847
Gauss,39680,200,1,9,9,509.799
Jacobi,73683,200,1,10,10,729.158
Gauss,39680,200,1,10,10,452.446
Jacobi,73683,200,1,11,11,720.629
Gauss,39680,200,1,11,11,436.568
Jacobi,73683,200,1,12,12,642.225
Gauss,39680,200,1,12,12,394.714
