method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,308.082
Gauss,10019,100,1,1,1,184.263
Jacobi,18603,100,1,2,2,169.478
Gauss,10019,100,1,2,2,103.31
Jacobi,18603,100,1,3,3,131.429
Gauss,10019,100,1,3,3,79.1259
Jacobi,18603,100,1,4,4,105.155
Gauss,10019,100,1,4,4,63.1659
Jacobi,18603,100,1,5,5,89.4593
Gauss,10019,100,1,5,5,55.051
Jacobi,18603,100,1,6,6,81.2901
Gauss,10019,100,1,6,6,49.8558
Jacobi,18603,100,1,7,7,75.2478
Gauss,10019,100,1,7,7,47.0637
Jacobi,18603,100,1,8,8,74.7558
Gauss,10019,100,1,8,8,47.251
Jacobi,18603,100,1,9,9,74.6571
Gauss,10019,100,1,9,9,47.6521
Jacobi,18603,100,1,10,10,72.0794
Gauss,10019,100,1,10,10,48.093
Jacobi,18603,100,1,11,11,73.0197
Gauss,10019,100,1,11,11,49.5535
Jacobi,18603,100,1,12,12,73.582
Gauss,10019,100,1,12,12,49.7688
Jacobi,41583,150,1,1,1,1530.34
Gauss,22394,150,1,1,1,928.758
Jacobi,41583,150,1,2,2,836.373
Gauss,22394,150,1,2,2,506.811
Jacobi,41583,150,1,3,3,642.745
Gauss,22394,150,1,3,3,387.371
Jacobi,41583,150,1,4,4,493.774
Gauss,22394,150,1,4,4,296.76
Jacobi,41583,150,1,5,5,415.09
Gauss,22394,150,1,5,5,253.504
Jacobi,41583,150,1,6,6,363.062
Gauss,22394,150,1,6,6,221.92
Jacobi,41583,150,1,7,7,329.423
Gauss,22394,150,1,7,7,200.6
Jacobi,41583,150,1,8,8,309.033
Gauss,22394,150,1,8,8,188.305
Jacobi,41583,150,1,9,9,285.878
Gauss,22394,150,1,9,9,177.396
Jacobi,41583,150,1,10,10,275.022
Gauss,22394,150,1,10,10,173.199
Jacobi,41583,150,1,11,11,262.718
Gauss,22394,150,1,11,11,168.756
Jacobi,41583,150,1,12,12,257.252
Gauss,22394,150,1,12,12,163.683
Jacobi,73683,200,1,1,1,5099.83
Gauss,39680,200,1,1,1,3049.35
Jacobi,73683,200,1,2,2,2596.25
Gauss,39680,200,1,2,2,1649.94
Jacobi,73683,200,1,3,3,1990.34
Gauss,39680,200,1,3,3,1216.97
Jacobi,73683,200,1,4,4,1523.29
Gauss,39680,200,1,4,4,909.898
Jacobi,73683,200,1,5,5,1255.96
Gauss,39680,200,1,5,5,767.345
Jacobi,73683,200,1,6,6,1083.36
Gauss,39680,200,1,6,6,660.75
Jacobi,73683,200,1,7,7,976.189
Gauss,39680,200,1,7,7,606.962
Jacobi,73683,200,1,8,8,917.515
Gauss,39680,200,1,8,8,550.786
Jacobi,73683,200,1,9,9,858.325
Gauss,39680,200,1,9,9,500.686
Jacobi,73683,200,1,10,10,780.076
Gauss,39680,200,1,10,10,472.481
Jacobi,73683,200,1,11,11,750.216
Gauss,39680,200,1,11,11,443.843
Jacobi,73683,200,1,12,12,698.795
Gauss,39680,200,1,12,12,414.172
