method,iterations,problem,locales,tasks,tasksPerLocale,time
Gauss,10019,100,1,1,1,210.579
Jacobi,18603,100,1,2,2,194.159
Gauss,10019,100,1,2,2,112.716
Jacobi,18603,100,1,3,3,134.289
Gauss,10019,100,1,3,3,78.8781
Jacobi,18603,100,1,4,4,103.627
Gauss,10019,100,1,4,4,61.773
Jacobi,18603,100,1,5,5,86.8251
Gauss,10019,100,1,5,5,52.4387
Jacobi,18603,100,1,6,6,78.0808
Gauss,10019,100,1,6,6,47.724
Jacobi,18603,100,1,7,7,72.0641
Gauss,10019,100,1,7,7,43.8783
Jacobi,18603,100,1,8,8,64.2107
Gauss,10019,100,1,8,8,40.9335
Jacobi,18603,100,1,9,9,62.7569
Gauss,10019,100,1,9,9,39.7452
Jacobi,18603,100,1,10,10,61.0668
Gauss,10019,100,1,10,10,39.9088
Jacobi,18603,100,1,11,11,62.5811
Gauss,10019,100,1,11,11,40.9236
Jacobi,18603,100,1,12,12,62.9709
Gauss,10019,100,1,12,12,41.4612
Jacobi,41583,150,1,1,1,1829.3
Gauss,22394,150,1,1,1,1048.84
Jacobi,41583,150,1,2,2,948.219
Gauss,22394,150,1,2,2,553.985
Jacobi,41583,150,1,3,3,639.381
Gauss,22394,150,1,3,3,379.588
Jacobi,41583,150,1,4,4,496.175
Gauss,22394,150,1,4,4,293.12
Jacobi,41583,150,1,5,5,403.031
Gauss,22394,150,1,5,5,240.335
Jacobi,41583,150,1,6,6,354.835
Gauss,22394,150,1,6,6,212.538
Jacobi,41583,150,1,7,7,319.589
Gauss,22394,150,1,7,7,193.266
Jacobi,41583,150,1,8,8,275.958
Gauss,22394,150,1,8,8,169.797
Jacobi,41583,150,1,9,9,265.107
Gauss,22394,150,1,9,9,161.89
Jacobi,41583,150,1,10,10,246.587
Gauss,22394,150,1,10,10,153.626
Jacobi,41583,150,1,11,11,242.127
Gauss,22394,150,1,11,11,151.231
Jacobi,41583,150,1,12,12,232.202
Gauss,22394,150,1,12,12,147.213
Jacobi,73683,200,1,1,1,5704.4
Gauss,39680,200,1,1,1,3307.63
Jacobi,73683,200,1,2,2,2939.39
Gauss,39680,200,1,2,2,1728.7
Jacobi,73683,200,1,3,3,2000.4
Gauss,39680,200,1,3,3,1178.24
Jacobi,73683,200,1,4,4,1516.94
Gauss,39680,200,1,4,4,898.43
Jacobi,73683,200,1,5,5,1230.29
Gauss,39680,200,1,5,5,730.483
Jacobi,73683,200,1,6,6,1087.49
Gauss,39680,200,1,6,6,640.619
Jacobi,73683,200,1,7,7,966.154
Gauss,39680,200,1,7,7,578.096
Jacobi,73683,200,1,8,8,838.683
Gauss,39680,200,1,8,8,491.628
Jacobi,73683,200,1,9,9,792.596
Gauss,39680,200,1,9,9,473.216
Jacobi,73683,200,1,10,10,705.15
Gauss,39680,200,1,10,10,430.415
Jacobi,73683,200,1,11,11,708.797
Gauss,39680,200,1,11,11,427.116
Jacobi,73683,200,1,12,12,640.478
Gauss,39680,200,1,12,12,399.738
